,iso_formula,molecule,isotopologue,iso_slug,truncate_E,life,headers
65,(27Al)(19F),AlF,MoLLIST,27Al-19F,26195.38343,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
66,(40Ca)(19F),CaF,MoLLIST,40Ca-19F,10177.2696,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
67,(24Mg)(19F),MgF,MoLLIST,24Mg-19F,10117.6379,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
68,(16O)(1H)+,OH_p,MoLLIST,16O-1H_p,22861.7141,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'eta', 'F', 'e/f']"
69,(75As)(1H)3,AsH3,CYT18,75As-1H3,3500.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'Gvib', 'J', 'K', 'tau(rot)', 'Grot']"
70,(31P)(19F)3,PF3,MCYTY,31P-19F3,4500.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'G', 'J', 'G', 'n1', 'n2', 'n3', 'n4', 'n5', 'n6', 'Gv', 'J', 'K', 'Pr', 'Gr']"
71,(31P)(1H),PH,LaTY,31P-1H,24500.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'N']"
72,(12C)(1H)3,CH3,AYYJ,12C-1H3,9000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'Gamma', 'N(Block)', 'n1', 'n2', 'n3', 'n4', 'l3', 'l4', 'tau(inv)', 'J', 'K', 'tau(rot)', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'Gamma(vib)']"
73,(28Si)(1H)2,SiH2,CATS,28Si-1H2,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'Gamma', 'v1', 'v2', 'v3', 'Gamma_vib', 'Ka', 'Kc', 'C', 'n1', 'n2', 'n3']"
74,(28Si)(16O)2,SiO2,OYT3,28Si-16O2,15000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'e/f', 'v1', 'v2', 'l2', 'v3', 'C', 'n1', 'n2', 'n3', 'Gamma_vib', 'Ka', 'Gamma_rot']"
75,cis-(31P)2(1H)2,cis-P2H2,OY-Cis,cis-31P2-1H2,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'K', 'rotSym', 'l', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'vibSym']"
76,trans-(31P)2(1H)(2H),trans-P2H2,OY-Trans,trans-31P2-1H-2H,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'K', 'rotSym', 'l', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'vibSym']"
77,(1H)3(16O)+,H3O_p,eXeL,1H3-16O_p,10000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'Gamma', 'n1', 'n2', 'n3', 'l3', 'n4', 'l4', 'GammaVib', 'K', 'Coeff', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6']"
