initial_state,final_state,sum_A_if,lifetime,branching_ratio
[7],[12],1518130.0,6.587051174800577e-07,0.041801449507427674
[7],[5],1333186.8232,7.500824210066345e-07,0.036709070813410384
[7],[20],1228520.0,8.139875622700486e-07,0.033827087765122256
[7],[15],828650.0,1.2067821154890485e-06,0.022816735809403636
[7],[14],826980.0,1.2092190863140584e-06,0.02277075264546023
[7],[9],812960.0,1.2300728203109625e-06,0.022384714346965283
[7],[16],585660.0,1.707475326981525e-06,0.016126047781494398
[7],[8],538570.0,1.8567688508457582e-06,0.014829432697605161
[7],[3],502424.24629,1.990349803744938e-06,0.013834165560656097
[7],[13],473510.0,2.1118878165191866e-06,0.013038016741821899
[7],[6],422028.164,2.369510106913149e-06,0.011620473205956279
[7],[17],196678.0,5.0844527603494036e-06,0.005415495040755311
[8],[0],6645200.000138955,1.5048456028096811e-07,0.17993323269787606
[8],[19],6469600.0,1.5456906145665883e-07,0.1751784810446393
[8],[1],6280000.0100791,1.592356685342433e-07,0.17004464924044393
[8],[4],2787006.02826,3.588079788346658e-07,0.07546424550093357
[8],[3],2642200.1566504883,3.7847246261149946e-07,0.07154331180566659
[8],[6],2406002.885,4.156270993000077e-07,0.06514775732399529
[8],[9],1985700.0,5.036007453291031e-07,0.05376714322529063
[8],[11],1418100.0,7.051688879486637e-07,0.03839813960204695
[8],[7],1107022.519,9.033239910090753e-07,0.02997504070740546
[8],[14],911190.0,1.0974659511188666e-06,0.024672449632599368
[8],[16],782250.0,1.278363694471077e-06,0.0211811188940845
[8],[20],691580.0,1.4459643136007404e-06,0.018726031581682272
[8],[13],691490.0,1.4461525112438358e-06,0.018723594636076053
[8],[12],597850.0,1.6726603663126203e-06,0.01618808811866848
[8],[17],473710.0,2.110996179096916e-06,0.012826727812485483
[8],[15],448620.0,2.229058000089162e-06,0.012147361531817434
[8],[18],358490.0,2.7894780886496136e-06,0.009706895893052543
[8],[2],180595.1520108,5.537247201077678e-06,0.0048900062466424015
[8],[10],54870.0,1.822489520685256e-05,0.0014857245045936933
[9],[0],8260100.000260255,1.2106390963408343e-07,0.25281569073253773
[9],[1],4026100.00197152,2.4837932478336734e-07,0.12322626274798502
[9],[3],3932000.381793,2.543234747968153e-07,0.12034616922946195
[9],[19],3422400.0,2.92192613370734e-07,0.10474890375852298
[9],[6],2142738.8545000004,4.6669242866431616e-07,0.06558249943012749
[9],[8],2062009.954,4.849637112857507e-07,0.06311164160257784
[9],[5],1436767.1129899998,6.960070222646864e-07,0.043974924042192734
[9],[13],1182940.0,8.453514125822104e-07,0.0362060741620229
[9],[10],1071810.0,9.330011849115048e-07,0.032804734261752726
[9],[15],1036210.0,9.650553459240888e-07,0.03171513019039829
[9],[11],985900.0,1.014301653311695e-06,0.030175299268211726
[9],[4],643780.5187969999,1.5533244184969272e-06,0.019704097593816895
[9],[17],614220.0,1.6280811435641953e-06,0.018799343053576435
[9],[20],435685.0,2.2952362371897126e-06,0.013334948028878005
[9],[12],383410.0,2.608174017370439e-06,0.01173497463477539
[9],[2],371040.0153086,2.6951270988070755e-06,0.011356368295383775
[9],[16],323710.0,3.089184764140743e-06,0.009907745335341127
[9],[14],179206.0,5.580170306797764e-06,0.005484932225032104
[9],[18],123391.0,8.104318791483982e-06,0.0037766105609127834
[9],[7],38999.45976,2.56413808333226e-05,0.0011936508464921195
[10],[0],9330700.000020143,1.0717309526593302e-07,0.3140274676825551
[10],[3],3098300.0,3.227576412871575e-07,0.10427420269848564
[10],[5],2799800.0,3.5716836916922636e-07,0.09422809692903208
[10],[20],2233440.0,4.477398094419371e-07,0.07516708365068127
[10],[2],2066920.0,4.83811661796296e-07,0.06956280380904172
[10],[1],1742190.0,5.739902077270562e-07,0.05863391963311322
[10],[7],1474750.0,6.780810306831666e-07,0.049633147348414196
[10],[12],1442110.0,6.934283792498491e-07,0.048534638496437764
[10],[14],1241320.0,8.05594045048819e-07,0.04177699167081438
[10],[8],1182450.0,8.457017210030022e-07,0.03979570441236302
[10],[16],943850.0,1.059490385124755e-06,0.03176555085594219
[10],[18],537060.0,1.8619893494209213e-06,0.018074913114045993
[10],[9],428050.0,2.3361756804111668e-06,0.014406149328692115
[10],[17],396330.0,2.523149900335579e-06,0.013338603348768942
[10],[6],347210.0,2.880101379568561e-06,0.011685455223490689
[10],[19],309171.0,3.234456013015451e-06,0.010405241429975634
[10],[4],89177.0,1.1213653744799668e-05,0.003001278305536215
[10],[11],50177.9,1.9929092289633484e-05,0.001688752062609929
[11],[0],9719900.00002622,1.0288171688981393e-07,0.33864144156885073
[11],[2],3781300.0,2.64459312934705e-07,0.1317405408492722
[11],[7],2134000.0,4.6860356138706653e-07,0.07434858756838836
[11],[5],2014800.0,4.963271788763152e-07,0.07019565802848587
[11],[9],1739080.0,5.75016675483589e-07,0.06058956966655708
[11],[4],1456460.0,6.86596267662689e-07,0.05074308521548965
[11],[3],1213810.0,8.2385216796698e-07,0.042289156080780446
[11],[13],1043530.0,9.582858183281747e-07,0.03635659868099358
[11],[15],1022080.0,9.783969943644333e-07,0.035609280403888645
[11],[20],952670.0,1.0496814216885174e-06,0.0331910351072055
[11],[19],950470.0,1.0521110608435827e-06,0.03311438707878448
[11],[18],811180.0,1.232772011144259e-06,0.028261521679346424
[11],[17],711320.0,1.4058370353708598e-06,0.024782397989290536
[11],[1],295810.0,3.380548324938305e-06,0.010306024221464366
[11],[6],272025.0,3.676132708390773e-06,0.009477354514194397
[11],[12],263440.0,3.795930762222897e-06,0.00917825300328783
[11],[14],167803.0,5.95936902200795e-06,0.005846258687787381
[11],[10],152952.0,6.537998849312202e-06,0.005328849655932584
[12],[0],9449000.000004213,1.0583130489994223e-07,0.32185911876556716
[12],[2],4371800.0,2.287387346173201e-07,0.14891562021575605
[12],[4],2833700.0,3.5289550764018776e-07,0.09652367285909419
