"['n1', 'n2', 'L2', 'n3', 'L3', 'M3', 'n4', 'L4', 'M4']",lifetime_i
"[0, 0, 0, 1, 1, 1, 6, 6, 1]",0.02981920186111838
"[0, 0, 0, 1, 1, 1, 6, 6, 3]",0.031289351859032415
"[0, 0, 0, 1, 1, 1, 6, 6, 5]",0.027916103913194264
"[0, 0, 0, 1, 1, 1, 7, 1, 1]",0.041054088690817066
"[0, 0, 0, 1, 1, 1, 7, 3, 1]",0.041217274707643525
"[0, 0, 0, 1, 1, 1, 7, 3, 2]",0.04336675849865291
"[0, 0, 0, 1, 1, 1, 7, 5, 1]",0.043041729583409453
"[0, 0, 0, 1, 1, 1, 7, 5, 2]",0.04965828140539196
"[0, 0, 0, 1, 1, 1, 7, 5, 3]",0.04019313307224317
"[0, 0, 0, 1, 1, 1, 7, 5, 5]",0.04285801285365207
"[0, 0, 0, 1, 1, 1, 7, 7, 1]",0.04741270392138015
"[0, 0, 0, 1, 1, 1, 7, 7, 3]",0.04668590987210468
"[0, 0, 0, 1, 1, 1, 7, 7, 5]",0.049551453848031835
"[0, 0, 0, 1, 1, 1, 7, 7, 7]",0.05025197429705223
"[0, 0, 0, 1, 1, 1, 8, 2, 0]",0.09397490964258956
"[0, 0, 0, 1, 1, 1, 8, 2, 1]",0.17812393660404519
"[0, 0, 0, 1, 1, 1, 8, 2, 2]",0.10793612277985708
"[0, 0, 0, 1, 1, 1, 8, 4, 1]",0.0855508749649094
"[0, 0, 0, 1, 1, 1, 8, 4, 2]",0.13063409399323025
"[0, 0, 0, 1, 1, 1, 8, 4, 3]",0.13593494559226665
"[0, 0, 0, 1, 1, 1, 8, 6, 0]",0.17251231034677328
"[0, 0, 0, 1, 1, 1, 8, 6, 1]",0.1236610501160125
"[0, 0, 0, 1, 1, 1, 8, 6, 2]",0.11025751025935715
"[0, 0, 0, 1, 1, 1, 8, 6, 3]",0.0974252823874368
"[0, 0, 0, 1, 1, 1, 8, 6, 5]",0.10677172666819679
"[0, 0, 0, 1, 1, 1, 8, 8, 0]",0.11562157568840721
"[0, 0, 0, 1, 1, 1, 8, 8, 1]",0.11287682285129966
"[0, 0, 0, 1, 1, 1, 8, 8, 2]",0.14339700644415115
"[0, 0, 0, 1, 1, 1, 8, 8, 5]",0.10325292287392339
"[0, 0, 0, 1, 1, 1, 8, 8, 7]",0.1395314945444176
"[0, 0, 0, 1, 1, 1, 8, 8, 8]",0.11517991246135649
"[0, 0, 0, 1, 1, 1, 9, 1, 1]",0.5208869157526403
"[0, 0, 0, 1, 1, 1, 10, 0, 0]",6.5582700090053185
"[0, 0, 0, 1, 1, 1, 10, 2, 2]",5.629602566778202
"[0, 0, 0, 2, 0, 0, 0, 0, 0]",0.030115173014487295
"[0, 0, 0, 2, 0, 0, 1, 1, 1]",0.04284367191226328
"[0, 0, 0, 2, 0, 0, 2, 0, 0]",0.035266223118873466
"[0, 0, 0, 2, 0, 0, 2, 2, 1]",0.03561073187281011
"[0, 0, 0, 2, 0, 0, 2, 2, 2]",0.03148089326128424
"[0, 0, 0, 2, 0, 0, 3, 1, 1]",0.02761578309188279
"[0, 0, 0, 2, 0, 0, 3, 3, 1]",0.027208507314462123
"[0, 0, 0, 2, 0, 0, 3, 3, 3]",0.029728473130703852
"[0, 0, 0, 2, 0, 0, 4, 0, 0]",0.029839230933898557
"[0, 0, 0, 2, 0, 0, 4, 2, 2]",0.02886032215593541
"[0, 0, 0, 2, 0, 0, 4, 4, 0]",0.029432990466443237
"[0, 0, 0, 2, 0, 0, 4, 4, 1]",0.028175753182550882
"[0, 0, 0, 2, 0, 0, 4, 4, 2]",0.030173639543138467
"[0, 0, 0, 2, 0, 0, 4, 4, 3]",0.029153489181537692
"[0, 0, 0, 2, 0, 0, 5, 3, 2]",0.047867125301460665
"[0, 0, 0, 2, 0, 0, 5, 5, 5]",0.04758324290669546
"[0, 0, 0, 2, 0, 0, 6, 0, 0]",0.08998540420994112
"[0, 0, 0, 2, 0, 0, 6, 4, 1]",0.3248298742694788
"[0, 0, 0, 2, 0, 0, 6, 6, 6]",0.1236668738212107
"[0, 0, 0, 2, 2, 1, 0, 0, 0]",0.02202065514436758
"[0, 0, 0, 2, 2, 1, 1, 1, 1]",0.03039495861682352
"[0, 0, 0, 2, 2, 1, 2, 0, 0]",0.026416094911151385
"[0, 0, 0, 2, 2, 1, 2, 2, 1]",0.03012473445357198
"[0, 0, 0, 2, 2, 1, 2, 2, 2]",0.02863652258231426
"[0, 0, 0, 2, 2, 1, 3, 1, 0]",0.027020745153132533
"[0, 0, 0, 2, 2, 1, 3, 1, 1]",0.026778754029530005
"[0, 0, 0, 2, 2, 1, 3, 3, 1]",0.02717180055589732
"[0, 0, 0, 2, 2, 1, 3, 3, 3]",0.026528180558587106
"[0, 0, 0, 2, 2, 1, 4, 0, 0]",0.03006704047903499
"[0, 0, 0, 2, 2, 1, 4, 2, 1]",0.023553301396590086
"[0, 0, 0, 2, 2, 1, 4, 4, 0]",0.02752633891044522
"[0, 0, 0, 2, 2, 1, 4, 4, 1]",0.02860360320208439
"[0, 0, 0, 2, 2, 1, 4, 4, 2]",0.02889092780905064
"[0, 0, 0, 2, 2, 1, 4, 4, 3]",0.028075814352229514
"[0, 0, 0, 2, 2, 1, 5, 1, 0]",0.041420322686215844
"[0, 0, 0, 2, 2, 1, 5, 1, 1]",0.050633365852412106
"[0, 0, 0, 2, 2, 1, 5, 3, 1]",0.05404031536934584
"[0, 0, 0, 2, 2, 1, 5, 3, 2]",0.04140187698063045
"[0, 0, 0, 2, 2, 1, 5, 3, 3]",0.043595649138938986
"[0, 0, 0, 2, 2, 1, 5, 5, 3]",0.046896712314507635
"[0, 0, 0, 2, 2, 1, 5, 5, 5]",0.04623506035258989
"[0, 0, 0, 2, 2, 1, 6, 0, 0]",0.14846326805849758
"[0, 0, 0, 2, 2, 1, 6, 2, 0]",0.14466954268008383
"[0, 0, 0, 2, 2, 1, 6, 2, 1]",0.22521121519544823
"[0, 0, 0, 2, 2, 1, 6, 2, 2]",0.161052410133831
"[0, 0, 0, 2, 2, 1, 6, 4, 1]",0.1531030617858994
"[0, 0, 0, 2, 2, 1, 6, 4, 2]",0.1528868890105188
"[0, 0, 0, 2, 2, 1, 6, 4, 3]",0.09443169376037938
"[0, 0, 0, 2, 2, 1, 6, 6, 1]",0.1501921438443486
"[0, 0, 0, 2, 2, 1, 6, 6, 3]",0.15519475955695458
"[0, 0, 0, 2, 2, 1, 6, 6, 5]",0.10162628530320587
"[0, 0, 0, 2, 2, 2, 0, 0, 0]",0.020183605892083754
"[0, 0, 0, 2, 2, 2, 1, 1, 1]",0.027852140931315533
"[0, 0, 0, 2, 2, 2, 2, 2, 1]",0.030008517171413392
"[0, 0, 0, 2, 2, 2, 2, 2, 2]",0.029501348835898354
"[0, 0, 0, 2, 2, 2, 3, 1, 0]",0.026146808394356534
"[0, 0, 0, 2, 2, 2, 3, 1, 1]",0.027120678835845825
"[0, 0, 0, 2, 2, 2, 3, 3, 1]",0.028007230644760298
"[0, 0, 0, 2, 2, 2, 3, 3, 3]",0.025519217805355862
"[0, 0, 0, 2, 2, 2, 4, 2, 1]",0.02971019470501439
"[0, 0, 0, 2, 2, 2, 4, 2, 2]",0.026947884274130824
"[0, 0, 0, 2, 2, 2, 4, 4, 3]",0.024926036357961513
"[0, 0, 0, 2, 2, 2, 5, 3, 1]",0.062426579262269945
"[0, 0, 0, 2, 2, 2, 5, 3, 3]",0.060715476895890304
"[0, 0, 0, 2, 2, 2, 5, 5, 1]",0.06408359641838711
"[0, 0, 0, 2, 2, 2, 6, 0, 0]",0.21802472029058323
"[0, 0, 0, 2, 2, 2, 6, 2, 1]",0.35334247730354473
"[0, 0, 0, 2, 2, 2, 6, 2, 2]",0.25145165676890036
"[0, 0, 0, 2, 2, 2, 6, 4, 3]",0.24596364717276878
"[0, 0, 0, 2, 2, 2, 6, 6, 6]",0.42513719398784927
"[0, 0, 0, 3, 1, 1, 0, 0, 0]",0.022347088488700033
"[0, 0, 0, 3, 1, 1, 1, 1, 1]",0.024390198702130408
"[0, 0, 0, 3, 1, 1, 2, 0, 0]",0.024249810965550136
"[0, 0, 0, 3, 1, 1, 2, 2, 1]",0.024760848856427358
"[0, 0, 0, 3, 1, 1, 2, 2, 2]",0.023247341010403114
"[0, 0, 0, 3, 1, 1, 3, 1, 0]",0.08331550622413893
"[0, 0, 0, 3, 1, 1, 3, 1, 1]",0.07947868851458818
"[0, 0, 0, 3, 1, 1, 3, 3, 1]",0.10327477964129776
"[0, 0, 0, 3, 1, 1, 3, 3, 3]",0.08416186350366894
"[0, 0, 0, 3, 1, 1, 4, 0, 0]",0.28147591568790387
"[0, 0, 0, 3, 1, 1, 4, 2, 1]",0.30109708313408307
"[0, 0, 0, 3, 1, 1, 4, 2, 2]",0.31955719925532106
"[0, 0, 0, 3, 1, 1, 4, 4, 0]",0.37722510584731717
"[0, 0, 0, 3, 1, 1, 4, 4, 1]",0.3464476513045034
"[0, 0, 0, 3, 1, 1, 4, 4, 2]",0.2748027012761725
"[0, 0, 0, 3, 1, 1, 4, 4, 3]",0.3268318009359124
"[0, 0, 0, 3, 3, 0, 0, 0, 0]",0.02458143662407504
