"['n1', 'n2', 'n3', 'n4', 'l3', 'l4']",lifetime_i
"[0, 1, 3, 3, 3, 3]",0.11545747770707948
"[0, 1, 3, 4, 1, 0]",0.3213483366018518
"[0, 1, 3, 4, 1, 2]",0.3131858481427214
"[0, 1, 3, 4, 1, 4]",0.30573163240962514
"[0, 1, 3, 4, 3, 0]",0.3195200831913795
"[0, 1, 3, 4, 3, 2]",0.3251454062032259
"[0, 1, 3, 5, 1, 1]",1.0686080597760486
"[0, 1, 3, 5, 1, 3]",1.025610947343571
"[0, 1, 3, 5, 1, 5]",1.0110722589321721
"[0, 1, 3, 5, 3, 1]",1.0217598156917407
"[0, 1, 3, 5, 3, 3]",1.0712898521783925
"[0, 1, 3, 5, 3, 5]",0.999440302819226
"[0, 1, 3, 6, 1, 0]",2.9186214896978293
"[0, 1, 3, 6, 1, 2]",2.813861440272771
"[0, 1, 3, 6, 1, 4]",2.6393893239800876
"[0, 1, 3, 6, 1, 6]",3.0831629268702954
"[0, 1, 3, 6, 3, 0]",2.963620280302313
"[0, 1, 3, 6, 3, 2]",3.3332442886623004
"[0, 1, 3, 6, 3, 4]",3.584884085979409
"[0, 1, 3, 6, 3, 6]",3.7000317112315972
"[0, 1, 3, 7, 1, 1]",5.0971011917301965
"[0, 1, 3, 7, 1, 3]",5.040472470546829
"[0, 1, 3, 7, 1, 5]",5.700576139155828
"[0, 1, 3, 7, 1, 7]",5.421613312546711
"[0, 1, 3, 7, 3, 1]",5.061537237966519
"[0, 1, 3, 7, 3, 3]",4.79892713846237
"[0, 1, 3, 7, 3, 5]",5.152684752739837
"[0, 1, 4, 0, 0, 0]",0.05826351147603342
"[0, 1, 4, 0, 2, 0]",0.04458133199911969
"[0, 1, 4, 0, 4, 0]",0.05845008622880759
"[0, 1, 4, 1, 0, 1]",0.12142830373912449
"[0, 1, 4, 1, 2, 1]",0.11237214073092387
"[0, 1, 4, 1, 4, 1]",0.11613380648638424
"[0, 1, 4, 2, 0, 0]",0.3406358606493392
"[0, 1, 4, 2, 0, 2]",0.3336879330737167
"[0, 1, 4, 2, 2, 0]",0.3304001562410586
"[0, 1, 4, 2, 2, 2]",0.3262919102191091
"[0, 1, 4, 2, 4, 0]",0.35254781404513597
"[0, 1, 4, 2, 4, 2]",0.35682521326294925
"[0, 1, 4, 3, 0, 1]",1.0993997665377664
"[0, 1, 4, 3, 0, 3]",1.1155212769155163
"[0, 1, 4, 3, 2, 1]",1.0401876441435933
"[0, 1, 4, 3, 2, 3]",1.0833965563777799
"[0, 1, 4, 3, 4, 1]",1.156516573328186
"[0, 1, 4, 3, 4, 3]",1.2019182424271337
"[0, 1, 4, 4, 0, 0]",2.9894984300067073
"[0, 1, 4, 4, 0, 4]",3.3784017453745667
"[0, 1, 4, 4, 2, 0]",2.7293485311767105
"[0, 1, 4, 4, 2, 2]",2.9230293265393503
"[0, 1, 4, 4, 2, 4]",3.2054680518965055
"[0, 1, 4, 4, 4, 0]",3.2117447831106083
"[0, 1, 4, 4, 4, 2]",3.2956147332875627
"[0, 1, 4, 4, 4, 4]",3.4579684327494085
"[0, 1, 4, 5, 0, 3]",5.359806819299534
"[0, 1, 4, 5, 0, 5]",5.373108345763646
"[0, 1, 4, 5, 2, 3]",5.322994499612886
"[0, 1, 4, 5, 2, 5]",4.172706232734882
"[0, 1, 4, 5, 4, 1]",5.401585186370952
"[0, 1, 4, 5, 4, 3]",5.3734845064241625
"[0, 1, 4, 5, 4, 5]",5.43699020227048
"[0, 1, 5, 0, 1, 0]",0.4902543959772217
"[0, 1, 5, 0, 3, 0]",0.5377443937873957
"[0, 1, 5, 0, 5, 0]",0.5729745881058415
"[0, 1, 5, 1, 1, 1]",1.1260830790323066
"[0, 1, 5, 1, 3, 1]",1.1827181581936161
"[0, 1, 5, 1, 5, 1]",1.4709130104519683
"[0, 1, 5, 2, 1, 0]",2.9151737752200555
"[0, 1, 5, 2, 1, 2]",3.0615457446754566
"[0, 1, 5, 2, 3, 0]",3.179201115437945
"[0, 1, 5, 2, 3, 2]",3.1851236997835133
"[0, 1, 5, 2, 5, 0]",3.7021961084720525
"[0, 1, 5, 2, 5, 2]",3.712625494742994
"[0, 1, 5, 3, 1, 1]",5.09514607179694
"[0, 1, 5, 3, 1, 3]",5.486805317485548
"[0, 1, 5, 3, 3, 1]",5.293505950716982
"[0, 1, 5, 3, 3, 3]",5.042138837278069
"[0, 1, 5, 3, 5, 1]",5.515632560822664
"[0, 1, 5, 3, 5, 3]",5.344185695315937
"[0, 1, 6, 0, 0, 0]",2.8622101608209487
"[0, 1, 6, 0, 2, 0]",3.6770386727255087
"[0, 1, 6, 0, 4, 0]",3.5457207610745303
"[0, 1, 6, 0, 6, 0]",4.231783159524838
"[0, 1, 6, 1, 0, 1]",5.246806493609496
"[0, 1, 6, 1, 2, 1]",5.260138141478622
"[0, 1, 6, 1, 4, 1]",5.377562829932988
"[0, 1, 6, 1, 6, 1]",5.851999292341975
"[0, 2, 0, 0, 0, 0]",0.04581606285239383
"[0, 2, 0, 1, 0, 1]",0.03494060966774993
"[0, 2, 0, 2, 0, 0]",0.02796777055598349
"[0, 2, 0, 2, 0, 2]",0.02927686223168292
"[0, 2, 0, 3, 0, 1]",0.02303939935567672
"[0, 2, 0, 3, 0, 3]",0.031245854068136368
"[0, 2, 0, 4, 0, 0]",0.01870406588671367
"[0, 2, 0, 4, 0, 2]",0.020416182192232596
"[0, 2, 0, 4, 0, 4]",0.01994603137369643
