"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['A4Pi', 16, -1.0, -0.5, -1.5]",1.821523170156378e-05
"['A4Pi', 16, -1.0, 0.5, -0.5]",1.6425342491537524e-05
"['A4Pi', 16, -1.0, 1.5, 0.5]",1.8523034955936053e-05
"['A4Pi', 16, 1.0, -1.5, -0.5]",1.5053756604901382e-05
"['A4Pi', 16, 1.0, -0.5, 0.5]",1.8819510533147798e-05
"['A4Pi', 16, 1.0, 0.5, 1.5]",1.8605581152873616e-05
"['A4Pi', 16, 1.0, 1.5, 2.5]",1.839536603182435e-05
"['A4Pi', 17, -1.0, -1.5, -2.5]",1.8440753940537466e-05
"['A4Pi', 17, -1.0, -0.5, -1.5]",1.7965986870302456e-05
"['A4Pi', 17, -1.0, 0.5, -0.5]",1.778778940997496e-05
"['A4Pi', 17, -1.0, 1.5, 0.5]",1.900683369851439e-05
"['A4Pi', 17, 1.0, -1.5, -0.5]",1.7327687485511884e-05
"['A4Pi', 17, 1.0, -0.5, 0.5]",1.8904948348027888e-05
"['A4Pi', 17, 1.0, 0.5, 1.5]",1.8505081200176147e-05
"['A4Pi', 17, 1.0, 1.5, 2.5]",1.850436284142372e-05
"['A4Pi', 18, -1.0, -1.5, -2.5]",1.856941383671547e-05
"['A4Pi', 18, -1.0, -0.5, -1.5]",1.867129750310372e-05
"['A4Pi', 18, -1.0, 0.5, -0.5]",1.8875339082252116e-05
"['A4Pi', 18, -1.0, 1.5, 0.5]",1.9260745218684517e-05
"['A4Pi', 18, 1.0, -1.5, -0.5]",1.858101216009765e-05
"['A4Pi', 18, 1.0, -0.5, 0.5]",1.9116195852171037e-05
"['A4Pi', 18, 1.0, 0.5, 1.5]",1.8395597626182685e-05
"['A4Pi', 18, 1.0, 1.5, 2.5]",1.8735341179023157e-05
"['A4Pi', 19, -1.0, -1.5, -2.5]",1.8980607488772266e-05
"['A4Pi', 19, -1.0, -0.5, -1.5]",1.855786054061294e-05
"['A4Pi', 19, -1.0, 0.5, -0.5]",2.0197908419332836e-05
"['A4Pi', 19, 1.0, -0.5, 0.5]",2.025504388132308e-05
"['A4Pi', 19, 1.0, 0.5, 1.5]",1.9049677358204357e-05
"['A4Pi', 19, 1.0, 1.5, 2.5]",1.8957119155491634e-05
"['A4Pi', 20, -1.0, -1.5, -2.5]",1.9484396587384652e-05
"['A4Pi', 20, -1.0, -0.5, -1.5]",1.9179799531443758e-05
"['A4Pi', 20, -1.0, 0.5, -0.5]",1.9160498967509176e-05
"['A4Pi', 20, -1.0, 1.5, 0.5]",2.0392802131153847e-05
"['A4Pi', 20, 1.0, -1.5, -0.5]",1.922058880269404e-05
"['A4Pi', 20, 1.0, -0.5, 0.5]",2.0274426228305454e-05
"['A4Pi', 20, 1.0, 0.5, 1.5]",2.2468087616598478e-05
"['A4Pi', 20, 1.0, 1.5, 2.5]",1.4624684438952132e-05
"['A4Pi', 21, -1.0, -1.5, -2.5]",1.9665433779959657e-05
"['A4Pi', 21, -1.0, -0.5, -1.5]",1.9701536302156987e-05
"['A4Pi', 21, -1.0, 0.5, -0.5]",1.9765235187610965e-05
"['A4Pi', 21, -1.0, 1.5, 0.5]",2.041061230062326e-05
"['A4Pi', 21, 1.0, -1.5, -0.5]",1.985061969671977e-05
"['A4Pi', 21, 1.0, -0.5, 0.5]",2.0489216906937757e-05
"['A4Pi', 21, 1.0, 0.5, 1.5]",1.982738278169512e-05
"['A4Pi', 21, 1.0, 1.5, 2.5]",1.9530055953317986e-05
"['A4Pi', 22, -1.0, -1.5, -2.5]",1.983445164345564e-05
"['A4Pi', 22, -1.0, -0.5, -1.5]",2.0041191685172218e-05
"['A4Pi', 22, -1.0, 0.5, -0.5]",1.9110597379576e-05
"['A4Pi', 22, -1.0, 1.5, 0.5]",2.0659780073890774e-05
"['A4Pi', 22, 1.0, -1.5, -0.5]",2.028823515220414e-05
"['A4Pi', 22, 1.0, -0.5, 0.5]",2.0403682801006952e-05
"['A4Pi', 22, 1.0, 0.5, 1.5]",2.0100745182639702e-05
"['A4Pi', 22, 1.0, 1.5, 2.5]",1.9836529260870005e-05
"['A4Pi', 23, -1.0, -1.5, -2.5]",2.0069414563499757e-05
"['A4Pi', 23, -1.0, -0.5, -1.5]",2.029205765320615e-05
"['A4Pi', 23, -1.0, 0.5, -0.5]",2.0523437630859445e-05
"['A4Pi', 23, -1.0, 1.5, 0.5]",2.071407918265928e-05
"['A4Pi', 23, 1.0, -1.5, -0.5]",2.040028702757593e-05
"['A4Pi', 23, 1.0, -0.5, 0.5]",2.067074841105067e-05
"['A4Pi', 23, 1.0, 0.5, 1.5]",2.032134593782186e-05
"['A4Pi', 23, 1.0, 1.5, 2.5]",2.0070098815681884e-05
"['A4Pi', 24, -1.0, -1.5, -2.5]",2.112805446552604e-05
"['A4Pi', 24, -1.0, -0.5, -1.5]",2.12830219375626e-05
"['A4Pi', 24, -1.0, 0.5, -0.5]",1.8070005021741647e-05
"['A4Pi', 24, -1.0, 1.5, 0.5]",2.0926500750264577e-05
"['A4Pi', 24, 1.0, -1.5, -0.5]",2.1500225393826024e-05
"['A4Pi', 24, 1.0, -0.5, 0.5]",2.158341480360639e-05
"['A4Pi', 24, 1.0, 0.5, 1.5]",2.1302156484390367e-05
"['A4Pi', 24, 1.0, 1.5, 2.5]",2.112714074163352e-05
"['A4Pi', 25, -1.0, -1.5, -2.5]",2.1535089396057664e-05
"['A4Pi', 25, -1.0, -0.5, -1.5]",2.167548835155466e-05
"['A4Pi', 25, -1.0, 0.5, -0.5]",1.3127544027580981e-05
"['A4Pi', 25, 1.0, -1.5, -0.5]",1.6299474205541687e-05
"['A4Pi', 25, 1.0, -0.5, 0.5]",2.1978167099782252e-05
"['A4Pi', 25, 1.0, 0.5, 1.5]",2.186883099720826e-05
"['A4Pi', 25, 1.0, 1.5, 2.5]",2.1533226074924523e-05
"['A4Pi', 26, -1.0, -1.5, -2.5]",1.2644498317954283e-05
"['A4Pi', 26, -1.0, -0.5, -1.5]",1.6376943075371807e-05
"['A4Pi', 26, -1.0, 0.5, -0.5]",1.8262336560285923e-05
"['A4Pi', 26, -1.0, 1.5, 0.5]",2.0920504215529056e-05
"['A4Pi', 26, 1.0, -1.5, -0.5]",1.4330779571071794e-05
"['A4Pi', 26, 1.0, -0.5, 0.5]",2.221975527398301e-05
"['A4Pi', 26, 1.0, 0.5, 1.5]",2.15027384209054e-05
"['A4Pi', 26, 1.0, 1.5, 2.5]",2.1748774983477896e-05
"['A4Pi', 27, -1.0, -1.5, -2.5]",2.3964298861687435e-05
"['A4Pi', 27, -1.0, -0.5, -1.5]",2.3915983879819905e-05
"['A4Pi', 27, -1.0, 0.5, -0.5]",2.266359995157014e-05
"['A4Pi', 27, -1.0, 1.5, 0.5]",2.3968404509950833e-05
"['A4Pi', 27, 1.0, -1.5, -0.5]",2.3057321607195064e-05
"['A4Pi', 27, 1.0, -0.5, 0.5]",2.4691449764685928e-05
"['A4Pi', 27, 1.0, 0.5, 1.5]",2.4172574256240547e-05
"['A4Pi', 27, 1.0, 1.5, 2.5]",2.3979782119847553e-05
"['A4Pi', 28, -1.0, -1.5, -2.5]",3.15959215993092e-05
"['A4Pi', 28, -1.0, -0.5, -1.5]",3.147322468630058e-05
"['A4Pi', 28, -1.0, 0.5, -0.5]",2.9485457245068587e-05
"['A4Pi', 28, -1.0, 1.5, 0.5]",3.0487429434200905e-05
"['A4Pi', 28, 1.0, -1.5, -0.5]",2.781441011899023e-05
"['A4Pi', 28, 1.0, -0.5, 0.5]",3.151987604203628e-05
"['A4Pi', 28, 1.0, 0.5, 1.5]",3.167113472136668e-05
"['A4Pi', 28, 1.0, 1.5, 2.5]",3.160233994008761e-05
"['A4Pi', 29, -1.0, -1.5, -2.5]",4.7840765928733634e-05
"['A4Pi', 29, -1.0, -0.5, -1.5]",5.0091551072226865e-05
"['A4Pi', 29, -1.0, 0.5, -0.5]",4.729729456653501e-05
"['A4Pi', 29, -1.0, 1.5, 0.5]",4.968527547139936e-05
"['A4Pi', 29, 1.0, -1.5, -0.5]",1.8892857809186217e-05
"['A4Pi', 29, 1.0, -0.5, 0.5]",4.894459567491435e-05
"['A4Pi', 29, 1.0, 0.5, 1.5]",5.011859140838235e-05
"['A4Pi', 29, 1.0, 1.5, 2.5]",4.751024880162569e-05
"['A4Pi', 30, -1.0, -1.5, -2.5]",8.544318019089263e-05
"['A4Pi', 30, -1.0, -0.5, -1.5]",7.028818847442461e-05
"['A4Pi', 30, -1.0, 0.5, -0.5]",8.592054244813916e-05
"['A4Pi', 30, -1.0, 1.5, 0.5]",8.436277288999525e-05
"['A4Pi', 30, 1.0, -1.5, -0.5]",8.403905914642503e-05
"['A4Pi', 30, 1.0, -0.5, 0.5]",8.698115221247991e-05
"['A4Pi', 30, 1.0, 0.5, 1.5]",8.669116822025404e-05
"['A4Pi', 30, 1.0, 1.5, 2.5]",8.546060533932084e-05
"['A4Pi', 31, -1.0, -1.5, -2.5]",0.00017811611393759121
"['A4Pi', 31, -1.0, -0.5, -1.5]",0.00017823431468856128
"['A4Pi', 31, -1.0, 0.5, -0.5]",0.00016956096828941037
"['A4Pi', 31, -1.0, 1.5, 0.5]",0.00018184544369097904
"['A4Pi', 31, 1.0, -1.5, -0.5]",0.00014356429735274735
"['A4Pi', 31, 1.0, -0.5, 0.5]",0.00017961339176894768
"['A4Pi', 31, 1.0, 0.5, 1.5]",0.0001784157605725382
"['A4Pi', 31, 1.0, 1.5, 2.5]",0.00018108745030314367
"['A4Pi', 32, -1.0, -1.5, -2.5]",0.0004401734681337895
"['A4Pi', 32, -1.0, -0.5, -1.5]",0.00026324104599097616
"['A4Pi', 32, -1.0, 0.5, -0.5]",0.00031095918699347753
"['A4Pi', 32, -1.0, 1.5, 0.5]",0.00040736665245274037
"['A4Pi', 32, 1.0, -1.5, -0.5]",0.0002914703878970716
"['A4Pi', 32, 1.0, -0.5, 0.5]",0.0004373500756942885
"['A4Pi', 32, 1.0, 0.5, 1.5]",6.872377807709832e-05
"['A4Pi', 32, 1.0, 1.5, 2.5]",0.00044829798003611574
