"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['c2Delta', 35, 2.0, -0.5, 1.5]",6.117646115670786e-05
"['c2Delta', 35, 2.0, 0.5, 2.5]",0.013441615691646676
"['c2Delta', 36, -2.0, -0.5, -2.5]",0.01964978502290806
"['c2Delta', 36, -2.0, 0.5, -1.5]",0.00022695730684847774
"['c2Delta', 36, 2.0, -0.5, 1.5]",0.0006070557448246825
"['c2Delta', 36, 2.0, 0.5, 2.5]",0.01965318712411693
"['c2Delta', 37, -2.0, -0.5, -2.5]",0.027942056222344403
"['c2Delta', 37, -2.0, 0.5, -1.5]",1.8435951709686515e-05
"['c2Delta', 37, 2.0, -0.5, 1.5]",0.001584965667819869
"['c2Delta', 37, 2.0, 0.5, 2.5]",0.026650571661295062
"['c2Delta', 38, -2.0, -0.5, -2.5]",0.04733332302500152
"['c2Delta', 38, -2.0, 0.5, -1.5]",0.0003813949254741432
"['c2Delta', 38, 2.0, -0.5, 1.5]",0.0025413535188261393
"['c2Delta', 38, 2.0, 0.5, 2.5]",0.04748347776668955
"['c2Delta', 39, -2.0, -0.5, -2.5]",0.06283600607620464
"['c2Delta', 39, -2.0, 0.5, -1.5]",0.0009827508544128665
"['c2Delta', 39, 2.0, -0.5, 1.5]",0.0036953432632047456
"['c2Delta', 39, 2.0, 0.5, 2.5]",0.06270044644322673
"['c2Delta', 40, -2.0, -0.5, -2.5]",0.0011991415206163898
"['c2Delta', 40, -2.0, 0.5, -1.5]",0.0014120904079608944
"['c2Delta', 40, 2.0, -0.5, 1.5]",0.004195128886236838
"['c2Delta', 40, 2.0, 0.5, 2.5]",0.0011325356014067196
"['c2Delta', 41, -2.0, -0.5, -2.5]",0.16897710071642735
"['c2Delta', 41, -2.0, 0.5, -1.5]",0.0016651403772334
"['c2Delta', 41, 2.0, -0.5, 1.5]",0.004389410096141028
"['c2Delta', 41, 2.0, 0.5, 2.5]",0.17211987288280736
"['c2Delta', 42, -2.0, -0.5, -2.5]",0.15096888211954118
"['c2Delta', 42, -2.0, 0.5, -1.5]",0.002116941754773756
"['c2Delta', 42, 2.0, -0.5, 1.5]",0.005360256041868648
"['c2Delta', 42, 2.0, 0.5, 2.5]",0.1962480558840968
"['c2Delta', 43, -2.0, -0.5, -2.5]",0.33805708353712655
"['c2Delta', 43, -2.0, 0.5, -1.5]",0.0011683324622270238
"['c2Delta', 43, 2.0, -0.5, 1.5]",0.003922478690338896
"['c2Delta', 43, 2.0, 0.5, 2.5]",0.356442034555199
"['c2Delta', 44, -2.0, -0.5, -2.5]",0.02888678850954691
"['c2Delta', 44, -2.0, 0.5, -1.5]",0.0011370516800187067
"['c2Delta', 44, 2.0, -0.5, 1.5]",0.003260490316506385
"['c2Delta', 44, 2.0, 0.5, 2.5]",0.007445219495016458
"['c2Delta', 45, -2.0, -0.5, -2.5]",0.8615156977756184
"['c2Delta', 45, -2.0, 0.5, -1.5]",0.0007079621072446367
"['c2Delta', 45, 2.0, -0.5, 1.5]",0.0024908100518703227
"['c2Delta', 45, 2.0, 0.5, 2.5]",0.8718140551372437
"['c2Delta', 46, -2.0, -0.5, -2.5]",0.21627739043777555
"['c2Delta', 46, -2.0, 0.5, -1.5]",0.00030321912523024455
"['c2Delta', 46, 2.0, -0.5, 1.5]",0.0017293854834354856
"['c2Delta', 46, 2.0, 0.5, 2.5]",0.03092490705769247
"['c2Delta', 47, -2.0, -0.5, -2.5]",0.6944332912300807
"['c2Delta', 47, -2.0, 0.5, -1.5]",1.597802235695842e-05
"['c2Delta', 47, 2.0, -0.5, 1.5]",0.0009947007493463726
"['c2Delta', 47, 2.0, 0.5, 2.5]",0.4577187647030601
"['c2Delta', 48, -2.0, -0.5, -2.5]",0.8080818311641002
"['c2Delta', 48, -2.0, 0.5, -1.5]",1.891652372959769e-06
"['c2Delta', 48, 2.0, -0.5, 1.5]",0.0003979527080117858
"['c2Delta', 48, 2.0, 0.5, 2.5]",0.49996553035064056
"['c2Delta', 49, -2.0, -0.5, -2.5]",1.5432157341332322
"['c2Delta', 49, -2.0, 0.5, -1.5]",0.0009510848533870673
"['c2Delta', 49, 2.0, -0.5, 1.5]",0.00024364522978320826
"['c2Delta', 49, 2.0, 0.5, 2.5]",1.5828169616684518
"['c2Delta', 50, -2.0, -0.5, -2.5]",3.8488076383078087
"['c2Delta', 50, -2.0, 0.5, -1.5]",0.00048771378251274283
"['c2Delta', 50, 2.0, -0.5, 1.5]",3.484929087024922e-06
"['c2Delta', 50, 2.0, 0.5, 2.5]",2.399103189930257
"['c2Delta', 51, -2.0, -0.5, -2.5]",0.031907068474709116
"['c2Delta', 51, -2.0, 0.5, -1.5]",6.512568390821783e-05
"['c2Delta', 51, 2.0, -0.5, 1.5]",9.518867864210441e-05
"['c2Delta', 51, 2.0, 0.5, 2.5]",0.02995831059761616
"['c2Delta', 52, -2.0, -0.5, -2.5]",0.05477768598675535
"['c2Delta', 52, -2.0, 0.5, -1.5]",2.5166979628057608e-05
"['c2Delta', 52, 2.0, -0.5, 1.5]",0.0005362550332389984
"['c2Delta', 52, 2.0, 0.5, 2.5]",0.035433965269975776
"['c2Delta', 53, -2.0, -0.5, -2.5]",0.04039624726636562
"['c2Delta', 53, -2.0, 0.5, -1.5]",0.00063688854678942
"['c2Delta', 53, 2.0, -0.5, 1.5]",0.0004987254569935428
"['c2Delta', 53, 2.0, 0.5, 2.5]",0.0368158627876582
"['c2Delta', 54, -2.0, -0.5, -2.5]",0.010899488804523507
"['c2Delta', 54, -2.0, 0.5, -1.5]",0.0014045457970060934
"['c2Delta', 54, 2.0, -0.5, 1.5]",0.0010495217180554206
"['c2Delta', 54, 2.0, 0.5, 2.5]",0.010285678216541028
"['c2Delta', 55, -2.0, -0.5, -2.5]",0.08294451817639424
"['c2Delta', 55, -2.0, 0.5, -1.5]",0.0016914062112209159
"['c2Delta', 55, 2.0, -0.5, 1.5]",0.0015773564187120317
"['c2Delta', 55, 2.0, 0.5, 2.5]",0.08427952329077469
"['c2Delta', 56, -2.0, -0.5, -2.5]",0.08812078656889662
"['c2Delta', 56, -2.0, 0.5, -1.5]",0.002326741189797115
"['c2Delta', 56, 2.0, -0.5, 1.5]",0.002329205482025998
"['c2Delta', 56, 2.0, 0.5, 2.5]",0.9814797539181709
"['c2Delta', 57, -2.0, -0.5, -2.5]",0.001837226189678067
"['c2Delta', 57, -2.0, 0.5, -1.5]",0.00447328577828676
"['c2Delta', 57, 2.0, -0.5, 1.5]",0.004493939402865222
"['c2Delta', 57, 2.0, 0.5, 2.5]",0.19752559943514517
"['c2Delta', 58, -2.0, -0.5, -2.5]",0.0020138721651496976
"['c2Delta', 58, -2.0, 0.5, -1.5]",0.003825628775597029
"['c2Delta', 58, 2.0, -0.5, 1.5]",0.0038380399042863135
"['c2Delta', 58, 2.0, 0.5, 2.5]",0.13575473536706265
"['c2Delta', 59, -2.0, -0.5, -2.5]",0.019728147722742742
"['c2Delta', 59, -2.0, 0.5, -1.5]",0.008750238342409494
"['c2Delta', 59, 2.0, -0.5, 1.5]",0.008778356647915583
"['c2Delta', 59, 2.0, 0.5, 2.5]",0.00012487477196473714
"['d2Sigma+', 0, 0.0, -0.5, -0.5]",5.2912818957461854e-05
"['d2Sigma+', 0, 0.0, 0.5, 0.5]",6.43858105781022e-05
"['d2Sigma+', 1, 0.0, -0.5, -0.5]",0.00025464570180604233
"['d2Sigma+', 1, 0.0, 0.5, 0.5]",0.00027295883992200067
"['d2Sigma+', 2, 0.0, -0.5, -0.5]",3.1577549586885e-05
"['d2Sigma+', 2, 0.0, 0.5, 0.5]",4.249254055877301e-05
"['d2Sigma+', 3, 0.0, -0.5, -0.5]",1.9882079197005995e-06
"['d2Sigma+', 3, 0.0, 0.5, 0.5]",5.105680984766678e-06
"['d2Sigma+', 4, 0.0, -0.5, -0.5]",1.3776888816951769e-05
"['d2Sigma+', 4, 0.0, 0.5, 0.5]",1.0961909793832575e-05
"['d2Sigma+', 5, 0.0, -0.5, -0.5]",3.453056931091511e-05
"['d2Sigma+', 5, 0.0, 0.5, 0.5]",4.5313075635263336e-05
"['d2Sigma+', 6, 0.0, -0.5, -0.5]",0.00019538825645969846
"['d2Sigma+', 6, 0.0, 0.5, 0.5]",0.00021210772313754416
"['d2Sigma+', 7, 0.0, -0.5, -0.5]",0.00046369752065423213
"['d2Sigma+', 7, 0.0, 0.5, 0.5]",0.00046512019031888513
"['d2Sigma+', 8, 0.0, -0.5, -0.5]",5.2802255360669154e-05
"['d2Sigma+', 8, 0.0, 0.5, 0.5]",0.0001420510339842949
"['d2Sigma+', 9, 0.0, -0.5, -0.5]",0.0001516642257684113
"['d2Sigma+', 9, 0.0, 0.5, 0.5]",0.00016553762025136
"['d2Sigma+', 10, 0.0, 0.5, 0.5]",4.200322563660947e-05
"['d2Sigma+', 11, 0.0, -0.5, -0.5]",1.64909116560018e-06
"['d2Sigma+', 11, 0.0, 0.5, 0.5]",7.715845407401e-06
"['d2Sigma+', 12, 0.0, -0.5, -0.5]",7.80384972539283e-06
"['d2Sigma+', 12, 0.0, 0.5, 0.5]",1.9225720991182582e-06
"['d2Sigma+', 13, 0.0, -0.5, -0.5]",3.968859722374756e-05
"['d2Sigma+', 13, 0.0, 0.5, 0.5]",3.783433875421041e-05
"['d2Sigma+', 14, 0.0, -0.5, -0.5]",3.875651984560133e-05
"['d2Sigma+', 14, 0.0, 0.5, 0.5]",3.5909690691464415e-05
"['d2Sigma+', 15, 0.0, 0.5, 0.5]",1.8011716501699146e-05
"['d2Sigma+', 16, 0.0, -0.5, -0.5]",5.8732571373020045e-06
"['d2Sigma+', 16, 0.0, 0.5, 0.5]",4.3018214310925455e-06
"['d2Sigma+', 17, 0.0, -0.5, -0.5]",3.068142590421989e-07
"['d2Sigma+', 17, 0.0, 0.5, 0.5]",2.46455312828953e-07
"['d2Sigma+', 18, 0.0, -0.5, -0.5]",5.163461362516376e-07
"['d2Sigma+', 18, 0.0, 0.5, 0.5]",8.26889250775046e-07
"['d2Sigma+', 19, 0.0, -0.5, -0.5]",4.402573835655688e-06
"['d2Sigma+', 19, 0.0, 0.5, 0.5]",6.235889249395991e-06
"['d2Sigma+', 20, 0.0, -0.5, -0.5]",4.909015917411607e-06
"['d2Sigma+', 20, 0.0, 0.5, 0.5]",2.8168575155938055e-06
"['d2Sigma+', 21, 0.0, -0.5, -0.5]",9.991644311421172e-06
"['d2Sigma+', 21, 0.0, 0.5, 0.5]",2.698367855304871e-05
"['d2Sigma+', 22, 0.0, -0.5, -0.5]",6.266618439565504e-05
"['d2Sigma+', 22, 0.0, 0.5, 0.5]",8.470337525784114e-05
"['d2Sigma+', 23, 0.0, -0.5, -0.5]",0.0003135383651790801
"['d2Sigma+', 23, 0.0, 0.5, 0.5]",0.00039550329123052354
"['d2Sigma+', 24, 0.0, -0.5, -0.5]",0.0021122264299290256
"['d2Sigma+', 24, 0.0, 0.5, 0.5]",0.0018182455153526874
"['d2Sigma+', 25, 0.0, -0.5, -0.5]",0.00021975770171251942
"['d2Sigma+', 25, 0.0, 0.5, 0.5]",0.00017628839628598762
"['d2Sigma+', 26, 0.0, -0.5, -0.5]",4.247091452547262e-05
"['d2Sigma+', 26, 0.0, 0.5, 0.5]",3.8287724174211524e-05
"['d2Sigma+', 27, 0.0, -0.5, -0.5]",1.048564389523294e-05
"['d2Sigma+', 27, 0.0, 0.5, 0.5]",3.597021972657967e-06
"['d2Sigma+', 28, 0.0, -0.5, -0.5]",4.988495470415304e-07
"['d2Sigma+', 28, 0.0, 0.5, 0.5]",3.96632247384291e-07
"['d2Sigma+', 29, 0.0, -0.5, -0.5]",9.058940169997751e-07
"['d2Sigma+', 29, 0.0, 0.5, 0.5]",1.3380882996645109e-06
"['d2Sigma+', 30, 0.0, -0.5, -0.5]",3.5450518845832268e-06
"['d2Sigma+', 30, 0.0, 0.5, 0.5]",1.1684823439145663e-05
"['d2Sigma+', 31, 0.0, -0.5, -0.5]",4.4814233242427855e-05
"['d2Sigma+', 31, 0.0, 0.5, 0.5]",3.574537429167773e-05
"['d2Sigma+', 32, 0.0, -0.5, -0.5]",5.22220051204726e-05
"['d2Sigma+', 32, 0.0, 0.5, 0.5]",6.300226699949587e-05
"['d2Sigma+', 33, 0.0, -0.5, -0.5]",0.00011248460342115383
"['d2Sigma+', 33, 0.0, 0.5, 0.5]",0.0001602315002568644
"['d2Sigma+', 34, 0.0, -0.5, -0.5]",0.00031295841394155525
"['d2Sigma+', 34, 0.0, 0.5, 0.5]",0.0004263095426478922
"['d2Sigma+', 35, 0.0, -0.5, -0.5]",0.0013812848473742582
"['d2Sigma+', 35, 0.0, 0.5, 0.5]",0.0020167882141429927
"['d2Sigma+', 36, 0.0, -0.5, -0.5]",0.0005896102689820698
"['d2Sigma+', 36, 0.0, 0.5, 0.5]",0.0007420409102122281
"['d2Sigma+', 37, 0.0, -0.5, -0.5]",0.0002223852388488794
"['d2Sigma+', 37, 0.0, 0.5, 0.5]",4.332776769075306e-05
"['d2Sigma+', 38, 0.0, -0.5, -0.5]",0.00018327231011429308
"['d2Sigma+', 38, 0.0, 0.5, 0.5]",0.00010852769443891813
"['d2Sigma+', 39, 0.0, -0.5, -0.5]",8.547242236076442e-05
"['d2Sigma+', 39, 0.0, 0.5, 0.5]",5.436778323447772e-05
"['d2Sigma+', 40, 0.0, -0.5, -0.5]",4.6510483955991994e-05
"['d2Sigma+', 40, 0.0, 0.5, 0.5]",3.173823126666312e-05
"['d2Sigma+', 41, 0.0, -0.5, -0.5]",3.313611069771606e-05
"['d2Sigma+', 42, 0.0, -0.5, -0.5]",3.984238350965589e-06
"['d2Sigma+', 42, 0.0, 0.5, 0.5]",2.676378717459859e-06
"['d2Sigma+', 43, 0.0, -0.5, -0.5]",5.678679198807509e-07
"['d2Sigma+', 43, 0.0, 0.5, 0.5]",4.519250088347763e-07
"['d2Sigma+', 44, 0.0, -0.5, -0.5]",9.151861783320914e-07
"['d2Sigma+', 44, 0.0, 0.5, 0.5]",1.6337016403982774e-06
"['d2Sigma+', 45, 0.0, -0.5, -0.5]",8.416087083433854e-07
"['d2Sigma+', 45, 0.0, 0.5, 0.5]",5.466899448111152e-07
"['d2Sigma+', 46, 0.0, -0.5, -0.5]",1.6949671506699312e-05
"['d2Sigma+', 46, 0.0, 0.5, 0.5]",3.229872022230289e-05
"['d2Sigma+', 47, 0.0, -0.5, -0.5]",2.3066355407260397e-05
"['d2Sigma+', 47, 0.0, 0.5, 0.5]",5.764265633186069e-05
"['d2Sigma+', 48, 0.0, -0.5, -0.5]",4.028657797540532e-05
"['d2Sigma+', 48, 0.0, 0.5, 0.5]",7.270737447046682e-05
"['d2Sigma+', 49, 0.0, -0.5, -0.5]",9.260314661475012e-05
"['d2Sigma+', 49, 0.0, 0.5, 0.5]",0.00012802791559671903
"['d2Sigma+', 50, 0.0, -0.5, -0.5]",0.00015072538155226818
"['d2Sigma+', 50, 0.0, 0.5, 0.5]",0.0002285846967375983
"['d2Sigma+', 51, 0.0, -0.5, -0.5]",0.0002596295125633975
"['d2Sigma+', 51, 0.0, 0.5, 0.5]",0.00040235042324894804
"['d2Sigma+', 52, 0.0, -0.5, -0.5]",0.0004143615186086811
"['d2Sigma+', 52, 0.0, 0.5, 0.5]",0.0007064617847589123
"['d2Sigma+', 53, 0.0, -0.5, -0.5]",0.0006784125262587725
"['d2Sigma+', 53, 0.0, 0.5, 0.5]",0.0012984756030665838
"['d2Sigma+', 54, 0.0, -0.5, -0.5]",0.0010153589194798944
"['d2Sigma+', 54, 0.0, 0.5, 0.5]",0.001785708497290272
"['d2Sigma+', 55, 0.0, -0.5, -0.5]",0.0011014630044862079
"['d2Sigma+', 55, 0.0, 0.5, 0.5]",0.0021122882384869562
"['d2Sigma+', 56, 0.0, -0.5, -0.5]",0.0009104024892317104
"['d2Sigma+', 56, 0.0, 0.5, 0.5]",0.0016980312368351437
"['d2Sigma+', 57, 0.0, -0.5, -0.5]",0.016855902896361265
"['d2Sigma+', 57, 0.0, 0.5, 0.5]",0.013522973840142888
"['d2Sigma+', 58, 0.0, -0.5, -0.5]",0.0006104200292728294
"['d2Sigma+', 58, 0.0, 0.5, 0.5]",0.0010911266574487192
"['d2Sigma+', 59, 0.0, -0.5, -0.5]",0.00037409070278685014
"['d2Sigma+', 59, 0.0, 0.5, 0.5]",0.00036118610858519736
"['e2Phi', 0, -3.0, -0.5, -3.5]",4.742871803587022e-05
"['e2Phi', 0, -3.0, 0.5, -2.5]",4.838128229386609e-05
"['e2Phi', 0, 3.0, -0.5, 2.5]",4.83810486899262e-05
"['e2Phi', 0, 3.0, 0.5, 3.5]",4.742871720352915e-05
"['e2Phi', 1, -3.0, -0.5, -3.5]",4.3204327853002005e-05
"['e2Phi', 1, -3.0, 0.5, -2.5]",4.402473442305497e-05
"['e2Phi', 1, 3.0, -0.5, 2.5]",4.4024752418824813e-05
"['e2Phi', 1, 3.0, 0.5, 3.5]",4.320447317164592e-05
"['e2Phi', 2, -3.0, -0.5, -3.5]",3.970618241184404e-05
"['e2Phi', 2, -3.0, 0.5, -2.5]",4.0424293786317225e-05
"['e2Phi', 2, 3.0, -0.5, 2.5]",4.0424112634038535e-05
"['e2Phi', 2, 3.0, 0.5, 3.5]",3.9706283685247564e-05
"['e2Phi', 3, -3.0, -0.5, -3.5]",3.6767481605594545e-05
"['e2Phi', 3, -3.0, 0.5, -2.5]",3.74030444617087e-05
"['e2Phi', 3, 3.0, -0.5, 2.5]",3.7403035836550206e-05
"['e2Phi', 3, 3.0, 0.5, 3.5]",3.676748843769752e-05
"['e2Phi', 4, -3.0, -0.5, -3.5]",3.4265478488496836e-05
"['e2Phi', 4, -3.0, 0.5, -2.5]",3.4837575369044095e-05
"['e2Phi', 4, 3.0, -0.5, 2.5]",3.48375802946423e-05
"['e2Phi', 4, 3.0, 0.5, 3.5]",3.426568262090934e-05
"['e2Phi', 5, -3.0, -0.5, -3.5]",3.2033016272585516e-05
"['e2Phi', 5, -3.0, 0.5, -2.5]",3.263548123569143e-05
"['e2Phi', 5, 3.0, -0.5, 2.5]",3.263544245714894e-05
"['e2Phi', 5, 3.0, 0.5, 3.5]",3.203278245678674e-05
"['e2Phi', 6, -3.0, -0.5, -3.5]",3.0274564789337984e-05
"['e2Phi', 6, -3.0, 0.5, -2.5]",3.0754886472393e-05
"['e2Phi', 6, 3.0, -0.5, 2.5]",3.0754879817544154e-05
"['e2Phi', 6, 3.0, 0.5, 3.5]",3.0274440480786504e-05
"['e2Phi', 7, -3.0, -0.5, -3.5]",2.8666611434909803e-05
"['e2Phi', 7, -3.0, 0.5, -2.5]",2.9104764827945013e-05
"['e2Phi', 7, 3.0, -0.5, 2.5]",2.910479427358378e-05
"['e2Phi', 7, 3.0, 0.5, 3.5]",2.866669247601578e-05
"['e2Phi', 8, -3.0, -0.5, -3.5]",2.7333818006124385e-05
"['e2Phi', 8, -3.0, 0.5, -2.5]",2.7736691469706827e-05
"['e2Phi', 8, 3.0, -0.5, 2.5]",2.7736764106481793e-05
"['e2Phi', 8, 3.0, 0.5, 3.5]",2.733382194151686e-05
"['e2Phi', 9, -3.0, -0.5, -3.5]",2.666835703754905e-05
"['e2Phi', 9, -3.0, 0.5, -2.5]",2.704201035823593e-05
"['e2Phi', 9, 3.0, -0.5, 2.5]",2.7042028610807208e-05
"['e2Phi', 9, 3.0, 0.5, 3.5]",2.6668350791199825e-05
"['e2Phi', 10, -3.0, -0.5, -3.5]",2.547312534293194e-05
"['e2Phi', 10, -3.0, 0.5, -2.5]",2.5761057594801395e-05
"['e2Phi', 10, 3.0, -0.5, 2.5]",2.5760982947148325e-05
"['e2Phi', 10, 3.0, 0.5, 3.5]",2.547313408206034e-05
"['e2Phi', 11, -3.0, -0.5, -3.5]",2.5448861583137928e-05
"['e2Phi', 11, -3.0, 0.5, -2.5]",2.5796583108249364e-05
"['e2Phi', 11, 3.0, -0.5, 2.5]",2.5796671818634942e-05
"['e2Phi', 11, 3.0, 0.5, 3.5]",2.5448859897651833e-05
"['e2Phi', 12, -3.0, -0.5, -3.5]",2.524491004364638e-05
"['e2Phi', 12, -3.0, 0.5, -2.5]",2.5567528684497105e-05
"['e2Phi', 12, 3.0, -0.5, 2.5]",2.5567525803614215e-05
"['e2Phi', 12, 3.0, 0.5, 3.5]",2.5244939140486208e-05
"['e2Phi', 13, -3.0, -0.5, -3.5]",2.4344072983145643e-05
"['e2Phi', 13, -3.0, 0.5, -2.5]",2.4629968852528933e-05
"['e2Phi', 13, 3.0, -0.5, 2.5]",2.4629957403632103e-05
"['e2Phi', 13, 3.0, 0.5, 3.5]",2.4343993253354246e-05
"['e2Phi', 14, -3.0, -0.5, -3.5]",2.4635559733778462e-05
"['e2Phi', 14, -3.0, 0.5, -2.5]",2.495897804163302e-05
"['e2Phi', 14, 3.0, -0.5, 2.5]",2.4958989953918737e-05
"['e2Phi', 14, 3.0, 0.5, 3.5]",2.463554152146251e-05
"['e2Phi', 15, -3.0, -0.5, -3.5]",2.761795933761048e-05
"['e2Phi', 15, -3.0, 0.5, -2.5]",2.8062259782443184e-05
"['e2Phi', 15, 3.0, -0.5, 2.5]",2.806226693512004e-05
"['e2Phi', 15, 3.0, 0.5, 3.5]",2.7617964012832604e-05
"['e2Phi', 16, -3.0, -0.5, -3.5]",3.454482574218227e-05
"['e2Phi', 16, -3.0, 0.5, -2.5]",3.5242341251976756e-05
"['e2Phi', 16, 3.0, -0.5, 2.5]",3.524235467579477e-05
"['e2Phi', 16, 3.0, 0.5, 3.5]",3.454473788490064e-05
"['e2Phi', 17, -3.0, -0.5, -3.5]",4.7593593565156915e-05
"['e2Phi', 17, -3.0, 0.5, -2.5]",4.875938465383988e-05
"['e2Phi', 17, 3.0, -0.5, 2.5]",4.875940049021499e-05
"['e2Phi', 17, 3.0, 0.5, 3.5]",4.7593388678339456e-05
"['e2Phi', 18, -3.0, -0.5, -3.5]",7.098374464691102e-05
"['e2Phi', 18, -3.0, 0.5, -2.5]",7.296210424497409e-05
"['e2Phi', 18, 3.0, -0.5, 2.5]",7.296216760605517e-05
"['e2Phi', 18, 3.0, 0.5, 3.5]",7.098353870217969e-05
"['e2Phi', 19, -3.0, -0.5, -3.5]",0.0001128237044306583
"['e2Phi', 19, -3.0, 0.5, -2.5]",0.00011641099262964286
"['e2Phi', 19, 3.0, -0.5, 2.5]",0.00011641102752161709
"['e2Phi', 19, 3.0, 0.5, 3.5]",0.00011282457573808727
"['e2Phi', 20, -3.0, -0.5, -3.5]",0.00018865158956591382
"['e2Phi', 20, -3.0, 0.5, -2.5]",0.00019602546889477485
"['e2Phi', 20, 3.0, -0.5, 2.5]",0.0001960255158661899
"['e2Phi', 20, 3.0, 0.5, 3.5]",0.00018865141679608822
"['e2Phi', 21, -3.0, -0.5, -3.5]",0.00032859289202921937
"['e2Phi', 21, -3.0, 0.5, -2.5]",0.0003417196011495689
"['e2Phi', 21, 3.0, -0.5, 2.5]",0.000341719650839119
"['e2Phi', 21, 3.0, 0.5, 3.5]",0.0003285922967801704
"['e2Phi', 22, -3.0, -0.5, -3.5]",0.00059125453863487
"['e2Phi', 22, -3.0, 0.5, -2.5]",0.0006129432692676145
"['e2Phi', 22, 3.0, -0.5, 2.5]",0.0006129429837999328
"['e2Phi', 22, 3.0, 0.5, 3.5]",0.000591256332917071
"['e2Phi', 23, -3.0, -0.5, -3.5]",0.001048266161624604
"['e2Phi', 23, -3.0, 0.5, -2.5]",0.0011223396105789266
"['e2Phi', 23, 3.0, -0.5, 2.5]",0.0011223387560620251
"['e2Phi', 23, 3.0, 0.5, 3.5]",0.0010482634566228194
"['e2Phi', 24, -3.0, -0.5, -3.5]",0.0004005844771617051
"['e2Phi', 24, -3.0, 0.5, -2.5]",0.0020828936083085157
"['e2Phi', 24, 3.0, -0.5, 2.5]",0.002082894017649784
"['e2Phi', 24, 3.0, 0.5, 3.5]",0.00040058452740228574
"['e2Phi', 25, -3.0, -0.5, -3.5]",0.0015112152148843692
"['e2Phi', 25, -3.0, 0.5, -2.5]",0.0038957140104228074
"['e2Phi', 25, 3.0, -0.5, 2.5]",0.0038957165274147295
"['e2Phi', 25, 3.0, 0.5, 3.5]",0.001511223109094928
"['e2Phi', 26, -3.0, -0.5, -3.5]",0.0038839954824009554
"['e2Phi', 26, -3.0, 0.5, -2.5]",0.00731912441971915
"['e2Phi', 26, 3.0, -0.5, 2.5]",0.0073191296171823675
"['e2Phi', 26, 3.0, 0.5, 3.5]",0.003884026115640935
"['e2Phi', 27, -3.0, -0.5, -3.5]",0.008043502358487416
"['e2Phi', 27, -3.0, 0.5, -2.5]",0.01379891864716705
"['e2Phi', 27, 3.0, -0.5, 2.5]",0.013799012285508937
"['e2Phi', 27, 3.0, 0.5, 3.5]",0.008043501675213829
"['e2Phi', 28, -3.0, -0.5, -3.5]",0.020344536291466434
"['e2Phi', 28, -3.0, 0.5, -2.5]",0.026122912416264597
"['e2Phi', 28, 3.0, -0.5, 2.5]",0.02611782133942079
"['e2Phi', 28, 3.0, 0.5, 3.5]",0.020344528150054067
"['e2Phi', 29, -3.0, -0.5, -3.5]",0.04242393737647794
"['e2Phi', 29, -3.0, 0.5, -2.5]",0.04978136717592988
"['e2Phi', 29, 3.0, -0.5, 2.5]",0.04973739840219335
"['e2Phi', 29, 3.0, 0.5, 3.5]",0.0424239678633628
"['e2Phi', 30, -3.0, -0.5, -3.5]",0.08677171106894155
"['e2Phi', 30, -3.0, 0.5, -2.5]",0.09602451216153117
"['e2Phi', 30, 3.0, -0.5, 2.5]",0.0959072078703196
"['e2Phi', 30, 3.0, 0.5, 3.5]",0.08677184047401104
"['e2Phi', 31, -3.0, -0.5, -3.5]",0.17432873919450245
"['e2Phi', 31, -3.0, 0.5, -2.5]",0.18930572538691212
"['e2Phi', 31, 3.0, -0.5, 2.5]",0.11553497503193942
"['e2Phi', 31, 3.0, 0.5, 3.5]",0.17432837438634968
"['e2Phi', 32, -3.0, -0.5, -3.5]",0.345154924747191
"['e2Phi', 32, -3.0, 0.5, -2.5]",0.20117320899882496
"['e2Phi', 32, 3.0, -0.5, 2.5]",0.1926071355286287
"['e2Phi', 32, 3.0, 0.5, 3.5]",0.34515263446922995
"['e2Phi', 33, -3.0, -0.5, -3.5]",0.6665092399115641
"['e2Phi', 33, -3.0, 0.5, -2.5]",0.005453931986789992
"['e2Phi', 33, 3.0, -0.5, 2.5]",0.005476350872457218
"['e2Phi', 33, 3.0, 0.5, 3.5]",0.6665116126143978
"['e2Phi', 34, -3.0, -0.5, -3.5]",1.1736746065172325
"['e2Phi', 34, -3.0, 0.5, -2.5]",0.13225203117342535
"['e2Phi', 34, 3.0, -0.5, 2.5]",0.6612650199222886
"['e2Phi', 34, 3.0, 0.5, 3.5]",1.1716389513404706
"['e2Phi', 35, -3.0, -0.5, -3.5]",0.7711972989530796
"['e2Phi', 35, -3.0, 0.5, -2.5]",0.11463083295222738
"['e2Phi', 35, 3.0, -0.5, 2.5]",0.4030848595150059
"['e2Phi', 35, 3.0, 0.5, 3.5]",0.7711962571705367
"['e2Phi', 36, -3.0, -0.5, -3.5]",0.3990521979705515
"['e2Phi', 36, -3.0, 0.5, -2.5]",0.006809820292749894
"['e2Phi', 36, 3.0, -0.5, 2.5]",0.018720813257254724
"['e2Phi', 36, 3.0, 0.5, 3.5]",0.38570635430079425
"['e2Phi', 37, -3.0, -0.5, -3.5]",2.9342296693076677
"['e2Phi', 37, -3.0, 0.5, -2.5]",0.0334756633479655
"['e2Phi', 37, 3.0, -0.5, 2.5]",0.08649895448826007
"['e2Phi', 37, 3.0, 0.5, 3.5]",2.9341418293696413
"['e2Phi', 38, -3.0, -0.5, -3.5]",10.116574145036045
