v_state,lifetime_i
"[0, 5, 3, 5]",0.013201209132948814
"[0, 5, 3, 6]",0.011407169409166659
"[0, 5, 3, 7]",0.010112124695987237
"[0, 5, 3, 8]",0.009144555176013808
"[0, 5, 3, 9]",0.009931608268139346
"[0, 5, 3, 10]",0.007967113882862737
"[0, 5, 3, 11]",0.008490402638979714
"[0, 5, 3, 12]",1.128193687010876
"[0, 5, 3, 13]",204.35655158103089
"[0, 5, 3, 14]",4084.412005136547
"[0, 5, 5, 0]",0.24454928111052954
"[0, 5, 5, 1]",0.049648554286212315
"[0, 5, 5, 2]",0.028320173455817266
"[0, 5, 5, 3]",0.020149561507375877
"[0, 5, 5, 4]",0.015860510519418714
"[0, 5, 5, 5]",0.013232255254915204
"[0, 5, 5, 6]",0.011838186079599411
"[0, 5, 5, 7]",0.01010758533482923
"[0, 5, 5, 8]",0.009141142727925102
"[0, 5, 5, 9]",0.009919657449216636
"[0, 5, 5, 10]",0.007974327739555444
"[0, 5, 5, 11]",0.008495399516898382
"[0, 5, 5, 12]",1.131176491005329
"[0, 5, 5, 13]",217.52281446994832
"[0, 5, 5, 14]",2895.5878855856117
"[0, 6, 0, 0]",0.2165368029867289
"[0, 6, 0, 2]",0.02834147222942683
"[0, 6, 0, 4]",0.015989302033031387
"[0, 6, 0, 6]",0.011530529805250362
"[0, 6, 0, 8]",0.009265176536038908
"[0, 6, 0, 10]",0.008118758151379302
"[0, 6, 0, 12]",1.3296274207627228
"[0, 6, 2, 1]",0.049007704273772754
"[0, 6, 2, 3]",0.020262838224284534
"[0, 6, 2, 5]",0.0133276473438789
"[0, 6, 2, 7]",0.010236806278257037
"[0, 6, 2, 9]",0.010032322882886394
"[0, 6, 2, 11]",0.008638128441899989
"[0, 6, 2, 13]",272.8191967711476
"[0, 6, 4, 0]",0.21303634290600218
"[0, 6, 4, 1]",0.04884269938472441
"[0, 6, 4, 2]",0.028292183547259316
"[0, 6, 4, 3]",0.020240478469881425
"[0, 6, 4, 4]",0.01597160058558654
"[0, 6, 4, 5]",0.013320664281230138
"[0, 6, 4, 6]",0.011526673361189736
"[0, 6, 4, 7]",0.010234649135595264
"[0, 6, 4, 8]",0.009264261667775261
"[0, 6, 4, 9]",0.010028349100920729
"[0, 6, 4, 10]",0.008122514249605297
"[0, 6, 4, 11]",0.008639884037441795
"[0, 6, 4, 12]",1.3277312183215482
"[0, 6, 4, 13]",280.42262887096433
"[0, 6, 4, 14]",168629.6521279958
"[0, 6, 6, 0]",0.2040478723810668
"[0, 6, 6, 1]",0.048446337042898455
"[0, 6, 6, 2]",0.02816217164962011
"[0, 6, 6, 3]",0.020187215303316314
"[0, 6, 6, 4]",0.01593892775274189
"[0, 6, 6, 5]",0.01330276448222946
"[0, 6, 6, 6]",0.011515420294363152
"[0, 6, 6, 7]",0.010229814948860735
"[0, 6, 6, 8]",0.009260153051696345
"[0, 6, 6, 9]",0.01002037882402114
"[0, 6, 6, 10]",0.008131806075826949
"[0, 6, 6, 11]",0.008650797644335536
"[0, 6, 6, 12]",1.3251275040866357
"[0, 6, 6, 13]",305.5319493812998
"[0, 6, 6, 14]",314917.65048494586
"[0, 7, 1, 0]",0.18793517510563795
"[0, 7, 1, 1]",0.04811176009724733
"[0, 7, 1, 2]",0.0284007884384874
"[0, 7, 1, 3]",0.020336272605332252
"[0, 7, 1, 4]",0.01609092976130175
"[0, 7, 1, 5]",0.01345392346505991
"[0, 7, 1, 6]",0.01165647950316691
"[0, 7, 1, 7]",0.010361934213604443
"[0, 7, 1, 8]",0.00938805527457466
"[0, 7, 1, 9]",0.010141988704656596
"[0, 7, 1, 10]",0.008276089302485329
"[0, 7, 1, 11]",0.0654039361703896
"[0, 7, 1, 12]",1.30088065646791
"[0, 7, 1, 13]",473.3131746698061
"[0, 7, 3, 0]",0.18748099110011976
"[0, 7, 3, 1]",0.04800504851927722
"[0, 7, 3, 2]",0.02823764932351482
